賽事類型,負磅區間,統計上名率,排序
短途正常地,<119磅,50.0%,3
短途正常地,120-124磅,57.8%,1
短途正常地,125-129磅,25.0%,4
短途正常地,130+磅,57.1%,2
短途變化地,<119磅,27.27%,4
短途變化地,120-124磅,48.0%,2
短途變化地,125-129磅,46.67%,3
短途變化地,130+磅,57.14%,1
中長途正常地,<119磅,37.5%,4
中長途正常地,120-124磅,46.2%,3
中長途正常地,125-129磅,54.5%,2
中長途正常地,130+磅,60.0%,1
中長途變化地,<119磅,37.5%,2
中長途變化地,120-124磅,36.11%,4
中長途變化地,125-129磅,40.54%,1
中長途變化地,130+磅,37.5%,2
